GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
SERPINC1,462,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.36,,20156427
SERPINC1,462,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,8.36,,20156427
SERPIND1,3053,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,14.72,,20156427
SERPIND1,3053,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,14.72,,2009908|7657819
SERPIND1,3053,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,14.72,,20156427
SERPINE1,5054,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,18.76,,15020195
SERPINE1,5054,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,18.76,,20156427
SERPINE1,5054,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,18.76,,15020195
SERPINE1,5054,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,18.76,,2009908|7657819
SERPINE1,5054,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,18.76,,15020195
SERPINE1,5054,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,2.91,,11259349|16720336|16785264
SERPINE2,5270,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,7.39,,20156427
SERPINE2,5270,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,7.39,,15020195
SERPINE3,647174,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,4.01,,15020195
SERPINF1,5176,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,13.25,,20156427
SERPINF1,5176,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,13.25,,15020195
SERPINF1,5176,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,13.25,,15020195
SERPINF1,5176,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.52,,11259349|16720336|16785264
SERPINF2,5345,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.09,,20156427
SERPING1,710,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.02,,20156427
SERPING1,710,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,8.02,,15020195
SERPINH1,871,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,2.85,,20156427
SERPINH1,871,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.49,,11259349|16720336|16785264
SERPINI1,5274,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.07,,20156427
SERTAD1,29950,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,2.93,,20156427
SERTAD2,9792,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.99,,15020195
SERTAD2,9792,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,8.99,,15020195
SERTAD4,56256,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.87,,11259349|16720336|16785264
SERTAD4-AS1,574036,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.94,,20156427
SERTM1,400120,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,10.39,,20156427
SERTM1,400120,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,10.39,,15020195
SESN1,27244,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,13.10,,20156427
SESN1,27244,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,13.10,,15020195
